date,symbol,action,confidence,reason,key_catalyst,sentiment_score,price_at_signal,price_1d,price_3d,price_5d,return_1d,return_3d,return_5d
2026-07-23,GS,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,1071.48,1070.475,1043.4735,,-0.000938,-0.026138,
2026-07-23,GLD,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,371.4,374.02,370.91,,0.007054,-0.001319,
2026-07-23,TSLA,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,325.805,310.54,306.48,,-0.046853,-0.059315,
2026-07-23,AMD,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,541.375,535.955,460.245,,-0.010012,-0.149859,
2026-07-23,AMZN,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,233.83,233.105,231.675,,-0.003101,-0.009216,
2026-07-23,LLY,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,1185.405,1202.2264,1217.995,,0.01419,0.027493,
2026-07-24,AAPL,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,333.05,337.4599,,,0.013241,,
2026-07-24,SPY,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,742.65,738.91,,,-0.005036,,
2026-07-24,QQQ,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,690.8,681.4075,,,-0.013597,,
2026-07-24,NVDA,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,209.925,197.5099,,,-0.059141,,
2026-07-24,MSFT,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,383.772,391.595,,,0.020385,,
2026-07-24,GOOGL,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,320.345,327.665,,,0.02285,,
2026-07-24,META,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,605.67,598.9872,,,-0.011034,,
2026-07-24,JPM,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,352.85,353.675,,,0.002338,,
2026-07-24,GS,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,1069.955,1050.25,,,-0.018417,,
2026-07-24,GLD,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,373.9901,375.27,,,0.003422,,
2026-07-24,TSLA,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,310.608,309.22,,,-0.004469,,
2026-07-24,AMD,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,536.1651,487.04,,,-0.091623,,
2026-07-24,AMZN,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,233.06,231.735,,,-0.005685,,
2026-07-24,LLY,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,1202.0551,1195.46,,,-0.005487,,
2026-07-27,AAPL,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,337.47,339.58,,,0.006252,,
2026-07-27,SPY,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,738.95,741.39,,,0.003302,,
2026-07-27,QQQ,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,681.415,677.41,,,-0.005878,,
2026-07-27,NVDA,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,197.48,197.645,,,0.000836,,
2026-07-27,MSFT,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,391.54,398.27,,,0.017189,,
2026-07-27,GOOGL,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,327.55,333.7,,,0.018776,,
2026-07-27,META,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,598.86,597.35,,,-0.002521,,
2026-07-27,JPM,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,353.43,355.58,,,0.006083,,
2026-07-27,GS,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,1048.9,1043.99,,,-0.004681,,
2026-07-27,GLD,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,375.21,370.91,,,-0.01146,,
2026-07-27,TSLA,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,309.005,306.44,,,-0.008301,,
2026-07-27,AMD,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,487.26,460.245,,,-0.055443,,
2026-07-27,AMZN,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,231.77,231.68,,,-0.000388,,
2026-07-27,LLY,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,1195.5,1217.995,,,0.018816,,
2026-07-28,AAPL,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,339.5901,,,,,,
2026-07-28,SPY,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,741.4513,,,,,,
2026-07-28,QQQ,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,677.61,,,,,,
2026-07-28,NVDA,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,197.675,,,,,,
2026-07-28,MSFT,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,398.33,,,,,,
2026-07-28,GOOGL,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,333.785,,,,,,
2026-07-28,META,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,597.32,,,,,,
2026-07-28,JPM,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,355.595,,,,,,
2026-07-28,GS,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,1043.4735,,,,,,
2026-07-28,GLD,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,371.005,,,,,,
2026-07-28,TSLA,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,306.8199,,,,,,
2026-07-28,AMD,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,460.83,,,,,,
2026-07-28,AMZN,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,231.67,,,,,,
2026-07-28,LLY,HOLD,0.1,EarningsSentiment: API error — APIConnectionError,,0.0,1218.075,,,,,,
